Name,Description,"Vegetarian/
Non-Vegetarian",recipe_id,image_url,ingredients,cuisine,recipe_name,cookTime
Baati,"hard, unleavened bread cooked in most of areas of Rajasthan, and in some parts of Madhya Pradesh, and Gujarat states of India.",Vegetarian,g14gP5xKhLr8cLTLE1L0,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Dhara/Baked_Stuffed_Baati_With_Churma_And_Panchratna_Dal.jpg,"1 Green Chilli - finely chopped,1/4 cup White Urad Dal (Split),1 teaspoon Coriander Powder (Dhania),1 cup Green peas (Matar) - frozen,1 tablespoon Ghee,1 cup Whole Wheat Flour,1 teaspoon Coriander (Dhania) Seeds,1/2 cup Caster Sugar,1/2 teaspoon Cinnamon Powder (Dalchini),3 tablespoon Ghee - melted,Green Chilli - sliced,Ghee - melted (as required),1/4 cup Arhar dal (Split Toor Dal),Salt - to taste,1/4 cup Sooji (Semolina/ Rava),1/2 cup Milk,1 Kashmiri dry red chilli,Asafoetida (hing) - a pinch,2 teaspoons Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1/2 teaspoon Cumin seeds (Jeera),1/4 cup Chana dal (Bengal Gram Dal),Curry leaves - as required,1/4 cup Green Moong Dal (Split),1 tablespoon Coriander (Dhania) Leaves - finely chopped,1 tablespoon Badam (Almond) - chopped,2 tablespoons Gram flour (besan),1 tablespoon Sunflower Oil,2 Cloves (Laung),1 tablespoon Pistachios - chopped,1/2 teaspoon Red Chilli powder,Lemon - sliced,1/2 teaspoon Turmeric powder (Haldi),1 cup Tomato - chopped,1 teaspoon Mustard seeds,1/2 teaspoon Garam masala powder,Papad,1 teaspoon Fennel seeds (Saunf),4 tablespoons Ghee - Melted,1 Bay leaf (tej patta),1 teaspoon Salt",Rajasthani,Baked Stuffed Baati With Churma And Panchratna Dal Recipe,60
Biryani,"Mixed rice dish, optional spices, optional vegetables, meats or seafood. Can be served with plain yogurt.",Non-Vegetarian,dNC71UWkxd06KKinRzhu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Chicken_Biryani.jpg,"3 Onions - sliced thin,20 gram Garlic - ground to paste,1 tablespoon Garam masala powder,4 Tomatoes - finely chopped,2 tablespoon Red Chilli powder,20 gram Ginger - ground to paste,4 Green Chillies - slit at the center,Ghee - as needed,Salt - to taste,1/2 cup Hung Curd (Greek Yogurt),Salt - as required,1 tablespoon Red Chilli powder,2 tablespoon Coriander Powder (Dhania),4 cups Basmati rice,1/2 cup Coriander (Dhania) Leaves - finely chopped,1 kg Chicken - with bone,1 teaspoon Turmeric powder (Haldi),Sunflower Oil - as needed,1/2 cup Mint Leaves (Pudina) - finely chopped",North Indian Recipes,Chicken Dum Biryani Recipe,150
Chaat,"Street food. Usually containing potato patty fried in oil, topped with sweet yogurt, and other sauces and spices",Vegetarian,Jt2kVtObyBtcv4haMANu,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Street_Food/Dahi_Bhalla_Puri_Recipe-1.jpg,"1 Carrot (Gajjar) - grated,1 cup Green Chutney (Coriander & Mint),2 sprig Coriander (Dhania) Leaves - chopped,2 Onions - finely chopped,4 Curd Vada,1 cup Papdi puris,1 cup Boondi - or sev,Chaat Masala Powder - to taste,1 cup Sweet Chutney (Date & Tamarind),1/4 cup Raw Peanuts (Moongphali) - roasted and halved,Cumin powder (Jeera) - to taste,1 Anardana Powder (Pomegranate Seed Powder)",North Indian Recipes,Dahi Bhalla Papdi Chaat Recipe,40
Chicken Tikka,Chicken with spices served on a skewer,,R5EoBV5LBfhXYyzbNJWx,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/10-oct/Hariyali_Chicken_Tikka_Recipe-9373.jpg,"1 cup Coriander (Dhania) Leaves,1/2 teaspoon Turmeric powder (Haldi),1 Green Chilli,1 teaspoon Cumin powder (Jeera),1 cup Mint Leaves (Pudina),2 teaspoon Garam masala powder,Salt - to taste,1 teaspoon Red Chilli powder,1/4 cup Curd (Dahi / Yogurt),1 teaspoon Amchur (Dry Mango Powder),2 Chicken breasts - cut into cubes",North Indian Recipes,Hariyali Chicken Tikka Recipe,110
Dal,"Assorted types of lentils, sucfch as toor, urad, chana, masoor dal",Vegetarian,m54HxxMnqxbLlKHvi0P9,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Bengali_Cholar_Dal_Recipe_5_1600.jpg,"1 cup Chana dal (Bengal Gram Dal),1/2 cup Fresh coconut - cut into small bits,3 Dry Red Chillies,Salt - to taste,1 inch Cinnamon Stick (Dalchini),1 inch Ginger - peeled and grated,1 tablespoon Ghee,2 Cloves (Laung),1 Bay leaf (tej patta),1 teaspoon Turmeric powder (Haldi),1 tablespoon Mustard oil,1/2 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit into halves lengthwise",Bengali Recipes,Bengali gram dal recipe,40
Poha,"Specialty from Madhya Pradesh. Common snack in central part of India. Flattended rice, potato, turmeric.",Vegetarian,TCfLQ0p9I5qY4g46WxmU,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Indori_Poha.jpg,"1/2 teaspoon Turmeric powder (Haldi),1 tablespoon Sugar,2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 tablespoon Raw Peanuts (Moongphali),Salt - to taste,1/2 teaspoon Ginger - grated,1 teaspoon Mustard seeds,1 Onion - chopped,2 Green Chillies - finely chopped,1/4 cup Fresh Pomegranate Fruit Kernels,1 teaspoon Fennel seeds (Saunf),7-8 Curry leaves,1/2 teaspoon Red Chilli powder,2 tablespoons Sunflower Oil,1/2 teaspoon Cumin seeds (Jeera),2-1/2 cup Poha (Flattened rice)",North Indian Recipes,Indori Poha Recipe,40
Firni,This is a dessert made of fine flour and ghee that is made only in Pundri.,Vegetarian,lxFhKcvNezoFzEd6TS9F,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Kesar_Pista_Phirni_video_recipe_11_1600.jpg,"2 tablespoons Badam (Almond) - blanched and slivered,2 tablespoons Pistachios - chopped,3/4 cup Sugar,Saffron strands - a few,1 teaspoon Cardamom Powder (Elaichi),1/4 cup Basmati rice - soaked for 30 minutes,700 ml Milk",Mughlai,Saffron Pistachio Firni Recipe,50
Kachori,Rajasthani / Marwari special,Vegetarian,Kk04hLgTSAZ1ZKC3lgqu,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Easyfoodsmith/Chatpati_Sattu_Kachori_Recipe_.jpg,"500 grams All Purpose Flour (Maida),Water - as required,Sunflower Oil - for frying,200 grams Roasted Gram Flour (Sattu Ka Atta),1/4 cup Sooji (Semolina/ Rava),2 tablespoons Mustard oil,2 Green Chillies - finely chopped,1/4 cup Pickle - red chilli pickle,1-1/2 teaspoon Ginger - finely chopped,1/2 teaspoon Salt,1/2 teaspoon Ajwain (Carom seeds),1-1/2 teaspoon Garlic - finely chopped,2 teaspoons Lemon juice,3 Coriander (Dhania) Leaves - chopped fine for garnish,2 tablespoons Sunflower Oil,1 Onion - small",Rajasthani,Chatpati Sattu Ki Kachori Recipe - Kachori Stuffed with Sattu and Pickle,60
Kheer,Rice cooked with milk and dry fruits,Vegetarian,2dIWfOC0d5jySvNX4WJA,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/aarti/Nariyal_Ki_Kheer_edited1.jpg,"1 tablespoon Whole cashews - chopped,Saffron strands - a pinch,3/4 cup Sugar - adjustable,1 Fresh coconut - grated,1 tablespoon Badam (Almond) - chopped,1/2 teaspoon Cardamom Powder (Elaichi),1 tablespoon Pistachios - chopped,1 liter Milk",Indian,Nariyal Ki Kheer Recipe - Coconut Pudding,70
Khichdi,Rice cooked with daal and veggies and sauteed,Vegetarian,Pbryeko5N2mXbRcbOysa,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Alaka_Jena/Khichdi.jpg,"1/2 teaspoon Turmeric powder (Haldi),1/4 teaspoon Cumin seeds (Jeera),2 Cardamom (Elaichi) Pods/Seeds,1-2 Dry Red Chilli,1 tablespoon Ginger - grated,Green Chillies,1 cup Rice,Lime Wedges - Lime wedges,1/2 cup Yellow Moong Dal (Split),1 tablespoon Ghee,1 Bay leaf (tej patta),1/4 teaspoon Asafoetida (hing),Salt - as per taste,3 cups Water,Coriander (Dhania) Leaves,1/2 inch Cinnamon Stick (Dalchini)",Indian,Khichdi With Fresh Spices Recipe,60
Kofta,"Gram flour balls fried with vegetables. Gram flour, veggies, rolled into balls with gram flour and fried in oil and then cooked with curry.",Vegetarian,t0KSv2qiJz6ctSiV19BP,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Sadaf_Abbasi/stuffed_paneer_curry.jpg,"3 cloves Garlic,1 Mace (Javitri),1/4 teaspoon Turmeric powder (Haldi),Salt - to taste,1 Onion - roughly chopped,1/2 cup Fresh cream,1 tablespoon Honey,2 Green Chilli - finely chopped,6 Pistachios - finely chopped,1 cup Homemade tomato puree,10 Cashew nuts - soaked and grind to a smooth paste,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),6 Badam (Almond) - finely chopped,2-3 Cloves (Laung),2 teaspoons Gram flour (besan),2-3 Cardamom (Elaichi) Pods/Seeds,2 tablespoons Curd (Dahi / Yogurt),2 teaspoons Coriander Powder (Dhania),1/2 teaspoon Red Chilli powder,2 Bay leaf (tej patta),1 inch Ginger,1 Cinnamon Stick (Dalchini),6 Cashew nuts - finely chopped,1 tablespoon Raisins,1/4 teaspoon Cardamom Powder (Elaichi),1 teaspoon Sunflower Oil,200 grams Paneer (Homemade Cottage Cheese) - cut into 1-inch cubes,1 Star anise,1 teaspoon Ginger - finely chopped",North Indian Recipes,Sweet & Spicy Stuffed Paneer In Kofta Curry Recipe,40
Naan,Tandoor-baked soft flatbread made with refined wheat flour.,Vegetarian,BFrRCV1FYrfNLarcxcjz,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Riya/GARLIC_NAAN_WITHOUT_YEAST.jpg,"2 tablespoons Coriander (Dhania) Leaves - finely chopped,1-1/2 tablespoon Garlic - ground to paste,Salt - to taste,1/2 teaspoon Baking powder,2 tablespoons Butter - melted,1/2 cup Milk,4 tablespoons Curd (Dahi / Yogurt),1 cup Whole Wheat Flour,1/2 teaspoon Baking soda,1 cup All Purpose Flour (Maida) - (more for dusting)",North Indian Recipes,Garlic Naan Without Yeast Recipe,60
Papad,"A crispy add on to Lunch and Dinner, for adding a spicy and crunchier taste to food.",Vegetarian,enKov9Wejo3vQU1y4hnG,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Sweets_Mithai/aam-papad-recipe-tasty-mango-bars.jpg,"3 cups Mango Pulp (Puree),1/2 cup Sugar,1/2 teaspoon Ghee - for greasing,1/2 teaspoon Cardamom Powder (Elaichi)",North Indian Recipes,Aam Papad Recipe (Tasty Mango Bars),40
Paratha,"flatbread native to the Indian subcontinent, prevalent throughout the modern-day nations of India, Sri Lanka, Pakistan, Nepal, Bangladesh, Maldives, and Myanmar, where wheat is the traditional staple",Vegetarian,co39WcYuOEeXkSdixuaE,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Nawabi_Kesar_Paratha_2_1600.jpg,"2 cups All Purpose Flour (Maida),Ghee - for cooking,1/2 teaspoon Saffron strands,1 teaspoon Kewra Water,Salt - a pinch,Milk - for kneading,1 teaspoon Rose water,1 teaspoon Sooji (Semolina/ Rava),1/4 teaspoon Cardamom Powder (Elaichi),1 tablespoon Ghee,Sugar - a pinch",Lucknowi,Nawabi Tawa Paratha Recipe,40
Rajma,Main. Kidney beans & assorted spices.,Vegetarian,VtH48bQUMkh06Vw98Zmo,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Bihari_Rajma_Masala_Recipe_Red_Kidney_Beans_Cooked_in_Dry_Ginger_and_Pepper_Gravy.jpg,"2 Tomatoes - pureed,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Dry ginger powder,Salt - to taste,2 teaspoon Black pepper powder,1 teaspoon Red Chilli powder,2 cups Rajma (Large Kidney Beans) - soaked for 8 hours,1/2 teaspoon Garam masala powder,1 Onion - finely chopped,2 teaspoon Coriander Powder (Dhania),2 inch Ginger - finely chopped,2 cloves Garlic - pounded using a mortar and pestle,1 tablespoon Ghee,1 Bay leaf (tej patta),Coriander (Dhania) Leaves - Small bunch",Bihari,Adraki Rajma Masala Recipe - Rajma Masala Recipe,320
Samosa,"Normally served as an entree or appetiser. Potatoes, onions, peas, coriander, and lentils, may be served with a mint or tamarind sauce",Vegetarian/meat varieties,7cNFHAS0ZruHq7yT4IhC,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Richa_Gupta/Matar_ke_Samose.jpg,"1 cup All Purpose Flour (Maida),Sunflower Oil - for deep frying,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1-1/2 cups Green peas (Matar) - steamed and mashed,1 teaspoon Green Chilli Sauce,1/2 teaspoon Garam masala powder,1/4 teaspoon Red Chilli powder,2 teaspoon All Purpose Flour (Maida),1/2 teaspoon Salt,2 tablespoons Ghee,1/4 cup Water,1/2 teaspoon Cinnamon Powder (Dalchini),2 teaspoon Amchur (Dry Mango Powder)",North Indian Recipes,Matar Samosa Recipe -Green Pea Samosa,55
Tandoori Chicken,Tandoori chicken as a dish originated in the Punjab before the independence of India and Pakistan.,Non-Vegetarian,tY8EDbkiaptCys4HnmW0,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/shaheen_ali/Stove_Top_Grilled__Smoked_Tandoori_Chicken.jpg,"1 tablespoon Lemon juice,1 tablespoon Kashmiri Red Chilli Powder,1 tablespoon Coriander Powder (Dhania),1/4 teaspoon Black Salt (Kala Namak),Salt - as required,2 Chicken thighs,1 teaspoon Garam masala powder,1/2 cup Hung Curd (Greek Yogurt),3 Charcoal - small pieces,2 tablespoons Mustard oil,1 tablespoon Ginger - paste,2 tablespoons Ghee,4 tablespoons Mustard oil,1 tablespoon Garlic - paste,1 teaspoon Chaat Masala Powder",North Indian Recipes,Smoked Tandoori Chicken Recipe - Classic North Indian Chicken Recipe,270
Halwa,Maida or Sugarcane fritters which are known as Halwa in South India India and,Vegetarian,R5SjqcIT1AoWP8Ckrdm5,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/1-Archana/Badam_Halwa_recipe-2.jpg," 1 almond - silver coating (for garnish), 1/2 cup ghee, 2 saffron, 1 tablespoon wheat flour,1 cup almonds, 3/4 cup milk, 3/4 cup sugar",Awadhi,Badam Halwa Recipe,35
Bonda,"Snack. Potatoes, gram flour.",Vegetarian,zh6jcUHyYXHRqYtmXCrj,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Lubna_Karim/Cheese_Stuffed_Aloo_Bonda.jpg,"1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1 inch Ginger - grated,1 teaspoon Mustard seeds,1 Onion - finely chopped,Coriander (Dhania) Leaves - small bunch,50 grams Mozzarella cheese - cut into 1/2 inch pieces,1 cup Gram flour (besan),1/4 teaspoon Asafoetida (hing),Sunflower Oil - as needed,2 Green Chillies - chopped,1 teaspoon Turmeric powder (Haldi),4 Potatoes (Aloo) - boiled and mashed",Indian,Cheese Stuffed Aloo Bonda Recipe,45
Chicken 65,"Popular deep fried chicken preparation. Chicken, onion, ginger",Non-Vegetarian,2eLMmN3ENl3zlfbnmwwn,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Chicken_65_Recipe_.jpg,"1 teaspoon Sugar,1/2 teaspoon Turmeric powder (Haldi),4 cloves Garlic - crushed,Sunflower Oil,4 cloves Garlic - pound to a paste,1 tablespoon Gram flour (besan),Salt - to taste,1 teaspoon Red Chilli powder,2 teaspoons Vinegar,250 grams Chicken breasts - cut into pieces,1 Lemon juice,2 teaspoons Red Chilli powder,1/4 cup Curd (Dahi / Yogurt),1 sprig Curry leaves,1 teaspoon Black pepper powder",South Indian Recipes,Restaurant Style Chicken 65 Recipe,95
Dosa,"Pancake/Hopper. Ground rice, urad dal",Vegetarian,2AB4jtl2hqGLP7alyiwz,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Soft_Masala_Dosa_with_Red_Chutney.jpg," oil - as per use, 1-1 / 2 cup potato masala, 2 green chillies - finely chopped, 1 cup Onion - cut straight and thin, 1/4 tsp turmeric powder,3-1 / 2 cup idli dosa mixture, 6 curry leaves - finely chopped, 1/2 tsp chaat masala powder, coriander - little, salt - as per taste, 2 cups potato - boiled and mashed, 1 tsp ginger - tighten, garlic chutney - as per use",South Indian Recipes,Masala Dosa Recipe With Red Chutney - Masala Dosa With Red Chutney Recipe,55
Idli,"Steamed cake of fermented rice and pulse flour. Rice, urad dal",Vegetarian,vGz0znH8cG8MdN44Bh43,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Preeti_Tamilarasan/Barley_Rava_Idli.jpg,"1 teaspoon White Urad Dal (Split),1 Green Chilli - finely chopped,1 teaspoon Enos fruit salt,Salt - to taste,1 teaspoon Mustard seeds,1/2 cup Curd (Dahi / Yogurt) - whisked,1/2 cup Barley (seeds),1 teaspoon Chana dal (Bengal Gram Dal),1/4 cup Water - or more if needed,1 teaspoon Sunflower Oil,1/2 cup Sooji (Semolina/ Rava)",South Indian Recipes,Barley Rava Idli Recipe,400
Pachadi,"Side dish made with yoghurt, coconut, ginger and curry leaves and seasoned with mustard.",Vegetarian,KRUGGfConSeYTRP9DgqC,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sapanabehl/Fruit_Pachadi_edited.jpg," 2 dry red peppers - break,2 cups fruit - cut into small pieces (pineapple, 1 1/2 cups yogurt - whisk, 1/4 cup coconut - tighten Take, 1 teaspoon mustard, 1 sprig curry leaves, 2 green chillies - chopped, salt - as per taste, 1/4 teaspoon turmeric powder, 2 teaspoons jaggery, 1 teaspoon oil, water - as per use",South Indian Recipes,Fruit Pachadi Recipe,20
Payasam,"Rice dessert. Rice, milk.",Vegetarian,YsuIkgZ5Kmi4ZuDT4kuM,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/MANGO_COCONUT_KHEER_1600.jpg,"2 tablespoons Badam (Almond) - sliced or chopped,1 teaspoons Cardamom Powder (Elaichi),1 teaspoon Ghee,1/4 cup Palm sugar,3 tablespoons Fresh coconut - or dessicated coconut (grated),2 Mango (Ripe),1 cup Coconut milk",Kerala Recipes,Aam Ki Kheer Recipe - Mango Coconut Payasam Recipe,20
Pesarattu,"Dosa (pancake or crepe) of Andhra Pradesh made from moong dal (lentils), grains and spice batter.",Vegetarian,mmsaPGjzQDR8RzCeuQyR,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/panditp253-gmail.com/ANDHRA_Style_PESARATTU_PIZZA_recipe_edited.jpg,"1/4 cup Coriander (Dhania) Leaves,1/2 cup Green Moong Dal (Whole) - soaked overnight,2 Green Chillies,1 Onion - sliced,2 tablespoons Coriander (Dhania) Leaves - finely chopped,1/4 cup Instant Oats (Oatmeal),Salt - to taste,Mixed Herbs (Dried),1/4 cup Red Chilli sauce - (adjust to taste),1/4 cup Broken Raw Rice - soaked overnight,5 Methi Seeds (Fenugreek Seeds) - soaked overnight,1/2 Red Bell pepper (Capsicum) - sliced,1 inch Ginger,100 grams Paneer (Homemade Cottage Cheese),Ghee - to make the Pesarattu,1/2 cup Tomato Ketchup - or Pizza sauce,1/2 Yellow Bell Pepper (Capsicum) - sliced,Mozzarella cheese - or cheddar,1/2 Green Bell Pepper (Capsicum) - sliced",Fusion,Andhra Cheese & Vegetables Pesarattu Recipe,55
Pongal,Pulao,Vegetarian,oxZ833uxRWTKBULMLiM0,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Mint_Khara_Pongal_Recipe.jpg,"1 cup Rice - soaked for 20 minutes,1 Green Chilli,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 cup Mint Leaves (Pudina) - tightly packed,5 cups Water,8 Cashew nuts - halved,1 inch Ginger,1/4 cup Coriander (Dhania) Leaves - tightly packed,1/2 cup Yellow Moong Dal (Split) - soaked for 20 minutes,2 tablespoons Ghee,1 teaspoon Sunflower Oil,1 sprig Curry leaves,1 pinch Asafoetida (hing),1 teaspoon Whole Black Peppercorns",South Indian Recipes,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),30
Poriyal,"Side dish for rice prepared from one or more vegetables. Oil stirred, with daal half boiled and coconut / mustard seeds.",,V3BszlWOq3EFpiJQ8n1L,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2016/1-Archana/Broccoli_and_Potato_Porial_Curry_Stir_Fry-3.jpg,"1 sprig Curry leaves - roughly torn,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Mustard seeds,Sunflower Oil - for cooking,Salt - to taste,1 teaspoon Red Chilli powder,3 Potatoes (Aloo) - peeled and cut into wedges,1 Broccoli - cut into florets",South Indian Recipes,Broccoli And Aloo Poriyal Recipe - South Indian Broccoli And Potato Stir Fry,35
Puttu,Ground rice,,9la63jCt19SL4dWPirYG,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Article-2018/Thalia_Puttu__Recipe_Coorg_Style_Idli-4_1600.jpg,"Salt - to taste,2 teaspoon Sugar,1 cup Rice,1/2 cup Cooked rice,1/2 cup White Urad Dal (Split),1 teaspoon Methi Seeds (Fenugreek Seeds),1/4 teaspoon Baking soda,1 cup Coconut milk",Coorg,Kodava Thalia Puttu Recipe - Steamed Rice Coconut Cake,35
Rasam,"A spicy and sour soup usually made with tamarind, tomatoes, pepper and other south Indian spices. Usually eaten with rice.",,jYOenjeQBjcguh9UFY8H,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Mysore_Rasam.jpg,"2 sprig Coriander (Dhania) Leaves - finely chopped,1/2 cup Arhar dal (Split Toor Dal) - cooked,20 grams Tamarind - lemon sized,1 teaspoon Mustard seeds,2 teaspoons Ghee,Salt - Salt for taste,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Black pepper powder,1 Green Chilli - slit,2 Kashmiri dry red chillies,1/4 cup Fresh coconut - grated,2 teaspoons Chana dal (Bengal Gram Dal),1 teaspoon Jaggery,1/4 teaspoon Asafoetida (hing),2 Tomatoes - roughly chopped,2 teaspoons Coriander (Dhania) Seeds,1 sprig Curry leaves",South Indian Recipes,Mysore Rasam Recipe,15
Sambar,"Lentil soup cooked with vegetables and a blend of south Indian spices (masala). Usually taken with rice, idli, dosa, pongal or upma.",Vegetarian,cqfuuTkWtqDvn5cH15Ra,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/jan-5/Onion_Sambar_Tamil_Nadu_Style_Recipe-0770.jpg,"1 sprig Curry leaves - roughly torn,1/2 teaspoon Mustard seeds,2 Dry Red Chilli,1 Tomatoes - chopped,2 tablespoons Sambar Powder,Salt - to taste,1 cup Pearl onions (Sambar Onions),1 cup Tamarind Water,1 cup Arhar dal (Split Toor Dal),Asafoetida (hing) - a pinch,1 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Turmeric powder (Haldi)",Tamil Nadu,Tamil Nadu Style Vengaya Sambar Recipe - Pearl Onion Sambar,40
Sevai,Kind of rice vermicelli used for breakfast,,bOec7Q1UdkcN9AKQgyqx,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Anitha_Kirubakaran/Kara_Sevai.jpg,"Salt - as required,2 teaspoons Coconut Oil,1/2 teaspoon Turmeric powder (Haldi),2 tablespoons Coriander (Dhania) Leaves - finely chopped,3 Green Chillies,2 tablespoons Fresh coconut - grated,1/2 teaspoon Mustard seeds,2 cups Semiya (Vermicelli) - cooked,2 teaspoons Sunflower Oil,1/2 cup Fresh coconut,1/2 teaspoon Asafoetida (hing),1/2 teaspoon Sugar,2 teaspoons Lemon juice,1 tablespoon Chana dal (Bengal Gram Dal),sprig Curry leaves - A sprig of curry leaves,2 tablespoons Raw Peanuts (Moongphali),1 tablespoon White Urad Dal (Split)",Indian,Kara Sevai Recipe (Lemon Vermicelli),30
Theeyal,"Kerala sauce made from a mixture of spices consisting of roasted coconut, coriander seeds, tamarind water, dried red chili and fenugreek.",Vegetarian,bSerJgUrskZ0XAnsz1FZ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/monisha.nair1-gmail.com/Pavakka_theeyal_Bitter_gourd_curry.jpg,"1/2 teaspoon Turmeric powder (Haldi),2 Onions,2 tablespoons Coriander (Dhania) Seeds,1 tablespoons Sunflower Oil,Salt - to taste,8 Curry leaves,1 teaspoon Mustard seeds,6 Dry Red Chillies,5 Curry leaves,1 cup Fresh coconut,1/2 cups Water,1 teaspoon Sunflower Oil,1 teaspoon Jaggery,1/4 cup Tamarind Water,1 tablespoon Coconut Oil,2 Dry Red Chillies,3 Whole Black Peppercorns,Methi Seeds (Fenugreek Seeds) - a pinch,2 Karela (Bitter Gourd/ Pavakkai)",Tamil Nadu,Pavakka Theeyal Recipe - Spicy & Tangy Karela In Tamarind Gravy,50
