Name,Description,"Vegetarian/
Uttapam,Rice pancake/hopper with a topping of onions / tomatoes / coconut,Vegetarian,SoELaxElD0X1CAN17bnI,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Ragi_Onion_Uttapam_Recipe-1.jpg,"Salt - to taste,Coriander (Dhania) Leaves - few,Ragi Dosa Batter - as needed,2 Green Chillies - finely chopped,2 Onions - finely chopped,3 Carrots (Gajjar) - grated",South Indian Recipes,Ragi Onion Uttapam Recipe - Wholesome Breakfast Recipe,50
Vada,Savory donut. Urad dal.,Vegetarian,PiFFYjJzNLxORe1xnccS,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Dahi_Vada.jpg,"Sweet Chutney (Date & Tamarind) - as required,Salt - to taste,1/4 teaspoon Cumin powder (Jeera),Red Chilli powder - as required,Chaat Masala Powder - a pinch,1/4 teaspoon Cooking soda,1/2 cup White Urad Dal (Split) - soaked for 4 hours,1/4 teaspoon Black Salt (Kala Namak)",South Indian Recipes,Dahi Vada With Sweet & Spicy Chutney Recipe,75
Amti,a Lentil curry with Split lentils.,,uVo9FgpAuvYCmmliCGRX,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Katachi_Amti_Spicy_accompaniment_to_Maharashtrian_Puran_Poli.jpg," 3 long, coriander leaves - little, 1 tablespoon oil,2 cups lentil water - chana lentil water, 1 teaspoon cumin, 1 bay leaf, 1 teaspoon mustard, 1 cup water - as per the experiment, 1/2 teaspoon goda masala, 2 whole black peppers, 5 curry leaves - break, 1 teaspoon tamarind paste - reduce as much as you like, 1 teaspoon Jaggery - grated, salt - to taste",Maharashtrian Recipes,Katachi Amti,25
Barfi,Sweet,,IOpMNJQP56Bp5Uokfvbj,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Nadkarni/Guilt_Free_Coconut_Barfi.jpg,"15 Dates - seedless,3/4 cup Dessicated Coconut - + little extra for garnishing,1 tablespoon Ghee - /clarified butter + a little extra for greasing the plate,1/2 cup Badam (Almond) - powdered,1 teaspoon Cardamom Powder (Elaichi),3 tablespoons Milk",North Indian Recipes,Guilt Free Coconut Barfi Recipe,40
Basundi,Sweet made from milk by continuous heating to a point before condensing.,,eJeGK0DrrHMV5VulUCAk,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Sweets_Mithai/Kesar_Pineapple_Rabri_Basundi_Sweet_Mithai_Recipe_Pudding-1.jpg,"2 Saffron strands,3/4 cup Sugar - (I like adding a little less sugar please adjust according to your taste),2 liter Milk,1 teaspoon Cardamom Powder (Elaichi),1/4 cup Badam (Almond) - or pistachios",Gujarati Recipes,Basundi / Rabri Recipe,55
Bhakri,"Whole wheat flour bread, thicker than rotli, crispy.",,VGkUqFrxZn4Wp0K5vx2V,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/umar/Masala_Jowar_Bhakri.jpg,"1 Green Chilli - finely chopped,1 teaspoon Sesame seeds (Til seeds),1 cup Jowar Flour (Sorghum),2 teaspoons Sunflower Oil,Salt - to taste,1 Onion - finely chopped,1/2 teaspoon Ajwain (Carom seeds),1 sprig Curry leaves - finely chopped,Coriander (Dhania) Leaves - a handful",Maharashtrian Recipes,Masala Jowar Bhakri Recipe,35
Chaat,Snack,Vegetarian,Jt2kVtObyBtcv4haMANu,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Street_Food/Dahi_Bhalla_Puri_Recipe-1.jpg,"1 Carrot (Gajjar) - grated,1 cup Green Chutney (Coriander & Mint),2 sprig Coriander (Dhania) Leaves - chopped,2 Onions - finely chopped,4 Curd Vada,1 cup Papdi puris,1 cup Boondi - or sev,Chaat Masala Powder - to taste,1 cup Sweet Chutney (Date & Tamarind),1/4 cup Raw Peanuts (Moongphali) - roasted and halved,Cumin powder (Jeera) - to taste,1 Anardana Powder (Pomegranate Seed Powder)",North Indian Recipes,Dahi Bhalla Papdi Chaat Recipe,40
Chevdo,"Mixture of Flattened rice, groundnut, chana, masala.",,cSt7iHsNY8R6ps3EJzMZ,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Tea_Time_Snacks/Oven-Baked-Chevdo-Chivda-Recipe-6238.jpg,"1 teaspoon Asafoetida (hing),1/4 cup Sesame seeds (Til seeds),500 grams Poha (Flattened rice) - the super thin and flat variety,2 teaspoons Turmeric powder (Haldi),1/4 cup Raisins,Salt - to taste,1/4 cup Slivered Almonds (Badam) - roasted,1/2 teaspoon Red Chilli powder - (adjust),2 tablespoons Sugar - coarsely powdered,Sunflower Oil - for roasting,12 sprig Curry leaves - finely chopped,1/4 cup Roasted Peanuts (Moongphali) - halved and without skin,4 Green Chillies - finely chopped (adjust)",Gujarati Recipes,Baked Chevdo Recipe (Chivda Mixture -Tea Time Snack),50
Dhokla,Lentil snack. Gram.,Vegetarian,AwEZAmeMQgvdCPv4HFF4,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/Sprouted_Moong_Dhokla.jpg,"250 grams Green Moong Sprouts,3 Green Chillies,1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Mustard seeds,Salt - to taste,1/2 teaspoon Sesame seeds (Til seeds),120 grams Gram flour (besan),1 Carrot (Gajjar),1 inch Ginger,2 tablespoon Coriander (Dhania) Leaves,1/2 cup Buttermilk,1/2 teaspoon Baking soda,1-1/2 tablespoon Sunflower Oil,1 sprig Curry leaves",Gujarati Recipes,Sprouted Moong Dhokla Recipe,105
Jeera Aloo,Typical West Indian dish,Vegetarian,7u6jkxuhJoQ8W13tI4HL,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Vegetables_Dry/Aloo_Jeera_Sabzi_Recipe-1.jpg,"3 potatoes - boiled, 2 green chilies, 1 sprig curry leaves - cut, 1 teaspoon cumin seeds, oil - as per use, 1 teaspoon turmeric powder, salt - as per taste",North Indian Recipes,Jeera Aloo Sabzi,40
Koshimbir,"a salad, usually served as a side",,G57Ya9GaJGFqHgGxLIFn,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/carrot_koshimbir_recipe-1_1600.jpg,"1 tablespoon Lemon juice,2 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,1 teaspoon Mustard seeds,1/2 teaspoon Sunflower Oil - for tempering,3 Carrots (Gajjar) - peeled and chopped into cubes,1 pinch Asafoetida (hing),2 tablespoon Fresh coconut - grated",Maharashtrian Recipes,Maharashtrian Style Gajarachi Koshimbir Recipe -Carrot Salad,30
Laddu,Sweet,,IxPNgVhDvJHrfZq2W3R4,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Roop/Besan_Ke_Laddu.jpg,"2 tablespoons Badam (Almond),6 Cardamom (Elaichi) Pods/Seeds,1 tablespoon Melon seeds,1/2 cup Fox nuts,2 tablespoons Pistachios,1/4 cup Fresh coconut - grated,1 tablespoon Chironji,1-1/2 cup Ghee,2 tablespoons Cashew nuts,1-1/2 cup Gram flour (besan),Sugar - (grinded) as required",North Indian Recipes,Besan Laddu Recipe,50
Malpua,Sweet,,cHnyjbDgbHcp1ef05d0e,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Swayampurna_Mishra/Malpua_with_rose_and_saffron_syrup.jpg,"1/4 teaspoon Cardamom (Elaichi) Pods/Seeds - crushed,2 cup Sugar,1/3 cup Khoya (Mawa),1 cup Milk,1/2 teaspoon Fennel seeds (Saunf) - crushed,1/4 cup Raisins,5 Cardamom (Elaichi) Pods/Seeds,Pistachios - or almonds to garnish,8 Saffron strands,2 tablespoons Sugar,1 teaspoon Rose Essence,1/2 cup All Purpose Flour (Maida),1/4 teaspoon Baking powder,1-3/4 cup Water,Rabri - thick clotted cream,1/2 cup Sooji (Semolina/ Rava),Sunflower Oil - to deep fry",North Indian Recipes,Malpua With Rose And Saffron Syrup Recipe,130
Sukhdi,Sweet,,7I5fffByHFVnNckm3Sjy,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Gol_Papdi_Golpapdi_Gur_Papdi_Sukhdi_Recipe_Gujarati_Sweet_12_1600.jpg,"1/4 cup Ghee,1 teaspoon Dry ginger powder,1/2 cup Jaggery - powdered/ grated,1/4 cup Badam (Almond) - fine sliced,1 teaspoon Cardamom Powder (Elaichi) - freshly ground,2 tablespoons Dessicated Coconut,1 cup Whole Wheat Flour",Gujarati Recipes,Golpapdi Recipe | Gur Papdi | Sukhdi recipe | Gujarati Gol Papdi,30
Thalipeeth,Savoury pancake. Mixed grain flour.,,th7yJEPyg9yD8mb33LXu,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Breakfast_Tiffins/Maharashtrian_Multigrain_Thalipeeth_Recipe_Saffola_Fit_Foodie-4.jpg,"1 Green Chilli - finely chopped,1/2 cup Ragi Flour (Finger Millet/ Nagli),Salt - to taste,80 grams Rolled Oats Or Instant Oats - powdered,1 inch Ginger - grated,1/2 cup Gram flour (besan),2 tablespoons Sesame seeds (Til seeds),250 grams Methi Leaves (Fenugreek Leaves) - chopped,1/2 cup Curd (Dahi / Yogurt),1 cup Whole Wheat Flour,1/4 teaspoon Asafoetida (hing),1/2 cup Bajra Flour ( Pearl Millet),Sunflower Oil - for smearing",Maharashtrian Recipes,Maharashtrian Multigrain Thalipeeth Recipe,55
Vindaloo,"Goan pork vindaloo. Pork, goan red chilli paste.",,uVCtte8RHkoWhfzX1PO2,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Divya_Shivaraman_/Potato_Vindaloo.jpg,"7 Garlic - cloves,4 Shallots - peeled,2 tablespoon Sunflower Oil,1/3 cup Water - as required to grind to puree,Water - Enough for boiling potatoes,2 teaspoon Vinegar,1/4 teaspoon Methi Seeds (Fenugreek Seeds) - roasted,1 teaspoon Mustard seeds,10 Curry leaves,Salt - as needed,3 Potatoes (Aloo) - cleaned,1/2 teaspoon Sugar,1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Turmeric powder (Haldi),12 Kashmiri dry red chillies - deseeded and soaked in hot water for 1/2 hour",Goan Recipes,Potato Vindaloo Recipe (Spicy Goan Potato Curry),40
Undhiyu,"The signature winter Gujarati dish. Curry of mixed vegetables like surti papdi, ratalu, potatoes, carrot, green garlic, tuvar dana, waal dana etc. rich in oil and spices generally accompanied by puri or roti.",,jzdlJ5DoU9yyfVrT7IPB,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Dhara/oil-free-gujarati-undhiyu-recipe-no-onion-no-garlic.jpg,"2 teaspoons Green Chillies - finely chopped,4 teaspoons Coriander Powder (Dhania),1/2 teaspoon Asafoetida (hing),1/2 cup Methi Leaves (Fenugreek Leaves) - chopped,1 pinch Cooking soda,1 tablespoon Red Chilli powder,1 cup Avarekalu / Lilva Beans - stringed,1/2 cup Purple cabbage - shredded,Salt - to taste,1 cup Tindora (Dondakaya/ Kovakkai) - sliced,1 cup Raw Banana - chopped,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - shredded,1 teaspoon Turmeric powder (Haldi),2 teaspoons Sugar - (optional),2 teaspoons Garam masala powder,1 cup Gram flour (besan) - or handwa flour mix,1-1/2 cups Coriander (Dhania) Leaves - chopped,1 teaspoon Sugar,1-1/2 teaspoons Turmeric powder (Haldi),3 teaspoons Red Chilli powder,Coriander (Dhania) Leaves - few,2 tablespoons Dessicated Coconut,1/2 cup Green peas (Matar),3 Brinjal (Baingan / Eggplant) - make 4 slits",Gujarati Recipes,Oil Free Gujarati Undhiyu Recipe - No Onion No Garlic,60
Thepla,"A signature Gujarati snack which is a parantha with seasoning, made from wheat flour, this dish is generally accompanied by condiments like pickles, green chillies, etc. It is also known as Dhebra, Chopda etc. in various regions.",,x49i6hGanJiqJUi7dkbv,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Gehu_Bajra_Thepla_Recipe_-_Bajra_Masala_Paratha_6_1600.jpg,"1/2 teaspoon Turmeric powder (Haldi),1 Green Chilli - finely chopped,1 inch Ginger - grated,1/2 cup Whole Wheat Flour,1/2 teaspoon Black pepper powder,1 cup Bajra Flour ( Pearl Millet),4 sprig Coriander (Dhania) Leaves - finely chopped,Sunflower Oil - as required",Gujarati Recipes,Wheat Millet Thepla Recipe - Bajra Masala Paratha,45
Khaman,Made by steaming gram flour batter with flavorful seasoning accompanied with chutney.,,0bxn0QAM9ShAEh9rLZ9t,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Instant_Khaman_Dhokla_Recipe_Video_Gujarati_2_1600.jpg,"1/2 cup Water - or more if required,1/4 cup Fresh coconut - grated,1/4 teaspoon Turmeric powder (Haldi),4 Green Chillies - slit,1 teaspoon Salt - to taste,2 tablespoons Sugar,1 tablespoon Lemon juice,1 inch Ginger - chopped,1/2 cup Water,1/4 teaspoon Salt,6 sprig Coriander (Dhania) Leaves - finely chopped,1-1/2 cups Gram flour (besan),2 Green Chillies - chopped,1 tablespoon Sunflower Oil,1 teaspoon Sugar,1 teaspoon Enos fruit salt,2 sprig Curry leaves,1 teaspoon Cumin (Jeera) seeds,1 teaspoon Mustard seeds,2 tablespoons Lemon juice,1/4 cup Water,1/4 teaspoon Cooking soda,1 teaspoon Sunflower Oil",Gujarati Recipes,Instant Khaman Dhokla Recipe,30
Churma Ladoo,"A sweet dish made with wheat flour, ghee, sugar or jaggery and dry fruits.",,BEzZfRaHTV3jxYyfj4oc,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Sweets_Mithai/Churma_Ladoo_Recipe_Atta_Whole_Wheat_Ladoo-1.jpg,"2 teaspoons Cardamom Powder (Elaichi),1 cup Ghee,1/2 cup Poppy seeds,Milk - as required,Ghee - for frying,1 teaspoon Nutmeg powder,2 cups Whole Wheat Flour,2 cups Jaggery - shredded",Rajasthani,Churma Ladoo Recipe - Atta/Whole Wheat Ladoo,52
Luchi,"A Puffed bread, fried in oil, made from flour. A Bengali specialty",,odCCaz2HD0EvSRNaMpd0,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Bengali_Luchi_Recipe_Maida_Puri-1.jpg,"Sunflower Oil - for deep frying,Lukewarm Water - for kneading,1/2 teaspoon Salt,3 cups All Purpose Flour (Maida),2 tablespoons Ghee",Bengali Recipes,Bengali Luchi Recipe - Bengali Softa Maida Puffed Puri,50
Bilahi Maas,A fish curry cooked with tomatoes.,,4kr9V95JyTlUvV6TjKns,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/shalinir28-gmail.com/Assamese_Fish_Curry_with_Potatoes_and_Tomatoes__Aloo_Bilahi_Maas.jpg,"1/2 teaspoon Turmeric powder (Haldi),3/4 teaspoon Cumin powder (Jeera),Salt - to taste,6 Rohu fish - or any other fresh water fish,3 cups Water,3 Tomatoes - finely chopped,4 cloves Garlic - finely chopped,1/2 teaspoon Garam masala powder,2 tablespoon Mustard oil,1/2 tablespoon Cumin seeds (Jeera),1 Onion - finely chopped,4 tablespoon Mustard oil,4 sprig Coriander (Dhania) Leaves - chopped,1 Bay leaf (tej patta),2 Dry Red Chillies - slit,4 Potatoes (Aloo) - boiled and roughly mashed",Assamese,Aloo Bilahi Maas Recipe - Assamese Fish Curry With Potatoes And Tomatoes,30
Brown Rice,A special local variety of rice.,,M4NWdP0AP0UDyyIry1Tj,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/July-25/Herbed_Brown_Rice_Recipe-3_1600.jpg,"1-1 / 2 cup brown rice, 3 tsp rosemary, water - According to use, 4 tsp red chilli flakes, 3 tsp oregano, salt - as per taste, oil, 2 onions - finely chopped, 4 long garlic - finely chopped",Continental,Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,30
Dal,Lentils.,,0AoV1Xip6dFcnaXHpCEI,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Chanar_Dalna.jpg,"1 tablespoon Panch Phoran Masala - roasted and powdered,2 Dry Red Chilli,2 Bay leaf (tej patta),1 teaspoon Cumin seeds (Jeera) - roasted and powdered,2 Potato (Aloo) - peeled and cut into cubes,Salt - to taste,1 teaspoon Red Chilli powder,1 Tomato - big sized,1 teaspoon Ginger - grated,1/2 teaspoon Sugar,1 teaspoon Turmeric powder (Haldi),Sunflower Oil - as required,200 grams Paneer (Homemade Cottage Cheese) - cut into cubes",Bengali Recipes,Chanar Dal Recipe - Bengali Steel Paneer & Potato Gravy,75
Konir Dom,Egg curry.,,uSK67seRqOz4mR0mDOLL,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/shaheen_ali/Aloo_Konir_Dom__Assamese_Egg__Potato_Curry.jpg,"2 tablespoon Ginger Garlic Paste,2 Tomatoes - ripe,1 teaspoon Cumin powder (Jeera),1 tablespoon Coriander Powder (Dhania),1/2 cup Coriander (Dhania) Leaves - chopped,2 Bay leaf (tej patta),1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),2 Cardamom (Elaichi) Pods/Seeds,2 teaspoon Turmeric powder (Haldi),Salt - Salt to taste,3 Dry Red Chilli,5 Potatoes (Aloo) - peeled & quartered,4 Whole Eggs - boiled and peeled,2 tablespoon Sunflower Oil - preferable Mustard oil (adjustable),3 Green Chillies - slit,4 Cloves (Laung),2 Onion - chopped or grounded",Assamese,Aloo Konir Dom Recipe (Assamese Egg & Potato Curry),45
Litti,Balls of wheat and sattu baked in oven and served with mashed potatoes (chokha),,gadwXLiEnymizGIB9EPG,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/Traditional_Bihari_Litti_Chokha_Recipe-1.jpg,"3-1/2 cups Whole Wheat Flour,1/2 teaspoon Fennel seeds (Saunf) - pounded,3/4 cup Ghee,1/2 teaspoon Kalonji (Onion Nigella Seeds),Salt - to taste,1 teaspoon Lemon juice,1 inch Ginger - grated,1/3 teaspoon Baking soda,1 teaspoon Salt - to taste,Lukewarm Water - to knead the flour,2 cloves Garlic - grated,2 Green Chillies - finely chopped,Coriander (Dhania) Leaves - a small bunch finely chopped,1/2 teaspoon Ajwain (Carom seeds),1-1/2 cups Roasted Gram Flour (Sattu Ka Atta),2 tablespoons Curd (Dahi / Yogurt),1 tablespoon Mustard oil",Bihari,Traditional Bihari Litti Chokha Recipe,105
Mishti Doi,"A dessert with curd, sugar syrup and /or jaggery. Bengali Sweet curd.",,vQ54oUBm6p69aATqqcwe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Sapana_Behl/Sweet_Caramelized_Yogurt.jpg,"1 tablespoon Curd (Dahi / Yogurt) - whisked,1 tablespoon Water,3 cups Milk,3/4 cup Sugar",Bengali Recipes,Mishti Doi Recipe - Traditional Bengali Sweet Yogurt,40
Bhaji,Fried Vegetables.,,Xj9St8mN0jSiGHZZSrQD,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/9-feb/Aluchi_Bhaji_Maharastrian_Colacasia_leaves_curry_with_peanuts-1.jpg,"1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Mustard seeds,2 teaspoons Jaggery - grated,Salt - to taste,2 tablespoons Chana dal (Bengal Gram Dal) - soaked in hot water for 30 minutes,2 Green Chillies - slit,1/4 cup Raw Peanuts (Moongphali) - soaked in hot water for 30 minutes,7 Dry coconut (kopra) - thinly sliced,1/2 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),1 teaspoon Sunflower Oil,50 grams Colocasia Leaves (Arbi) - leaves along with tender stemscleaned and finely chopped,1/2 teaspoon Cumin seeds (Jeera)",Maharashtrian Recipes,Aluchi Bhaji Recipe - Maharashtrian Style Colocasia Leaves Curry,30
Peda,Sweet,,pmBQZoeQ7JcfuIjj5sQ2,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Kesar_Peda_Recipe_14_1600.jpg,"1/2 teaspoon Ghee - optional,1 tablespoon Pistachios - sliced,4 tablespoons Sugar,300 grams Khoya (Mawa) - store bought or home made,1/4 teaspoon Cardamom Powder (Elaichi),2 tablespoons Milk,1 teaspoon Saffron strands",Indian,Saffron Peda Recipe,45
Red Rice,Special local variety of rice.,,t884t5txrAfNyvQJhST9,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Thai_Green_Curry_with_Chicken__Red_Rice_Recipe.jpg,"Salt - ,5 Stalks Lemongrass,1 cup Red matta rice,3 cloves Garlic,1 Onion - roughly chopped or 1/4 cup freshly chopped spring onions,2 Carrots (Gajjar) - thinly sliced,1 sprig Basil leaves - or kaffir lime leaves,Salt - to taste,1 teaspoon Cumin seeds (Jeera) - roasted,3 sprig Basil leaves,3 tablespoons Thai Green Curry paste,2 inch Ginger - sliced,1 tablespoon Coriander (Dhania) Seeds - whole roasted,8 Button mushrooms - quartered,5 Green Chillies - fresh green thai bird chilies,1 cup Lukewarm Water - or vegetable stock,1/4 cup Coriander (Dhania) Leaves - chopped,300 grams Chicken breasts - cut into bite sized pieces,1 tablespoon Brown Sugar (Demerara Sugar),1 inch Ginger,400 ml Coconut milk - unsweetened,5 Whole Black Peppercorns,1 teaspoon Sunflower Oil",Thai,Thai Green Curry with Chicken & Red Rice Recipe,40
Rice,Staple Food.,,xKYP16rUbrGbIn99zeuv,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Rice/Jeera_Pulao_Pilaf_Pulav_Recipe_Cumin_Ghee_Rice-3.jpg,"1 cup Rice,2 teaspoons Cumin seeds (Jeera),2 tablespoons Ghee,Salt - to taste",Indian,Jeera Rice Recipe - Cumin And Ghee Flavored Rice,30
Shondesh,A dessert with milk and sugar. A signature Bengali Dish,,fSXANRKmNpNjiC0QkJPr,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Sweets_Mithai/Dark_Chocolate_Sondesh_Dipped_In_Chocolate_Recipe-1.jpg,"1/4 cup Raisins - finely chopped,Lemon juice - from one or two lemons,1 tablespoon Cocoa Powder,2 liter Milk - full fat,3-4 tablespoons Condensed Milk,1/2 teaspoon Vanilla Extract,200 grams Dark chocolate,2 tablespoons Slivered Almonds (Badam)",Bengali Recipes,Dark Chocolate Sandesh (Shondesh) Dipped In Chocolate Recipe,50
Shukto,"A Bengali cuisine. Diced potaotes, sweet potatoes, broad beans, eggplant, drumsticks, raw bananas, radish cooked together and sautéed with mustard seeds. This culinary cooked in mustard oil and sometimes shredded coconut can also be used.",,PVhuneyzdCfdHIWj1Ses,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/admin/Shukto_Recipe__Bengali_Mixed_Vegetable_in_Mustard_and_Poppy_Seed_Gravy.jpg,"1 teaspoon Sugar,1 Raw Banana - peeled and diced,Salt - to taste,1 teaspoon Panch Phoran Masala,1 Carrot (Gajjar) - peeled and diced,1 teaspoon Mustard seeds,1 inch Ginger - grated,2 Green Chillies - slit,1/2 cup Milk,1 Ridge Gourd (Turai/ Peerkangai) - peeled and diced,2 teaspoons Mustard oil,1 Potato (Aloo) - peeled and diced,2 teaspoons Poppy seeds,1 Bay leaf (tej patta),1/4 teaspoon Turmeric powder (Haldi),1 Karela (Bitter Gourd/ Pavakkai) - small diced,1 Drumstick - cut into 2 inch pieces,2 Dry Red Chillies - broken",Bengali Recipes,Shukto Recipe - Bengali Mixed Vegetable in Mustard and Poppy Seed Gravy,40
Anarsa,"A pastry-like snack commonly associated with the Hindu festival of Diwali in Maharashtra, central and northern India, its ingredients include jaggery (unrefined cane sugar), rice, poppy seed, and ghee (clarified butter).",,ExWLUPFyn2Bw7VW59BLD,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/poonampagar-gmail.com/traditional-anarsa-recipe-with-curd-apoopa.jpg,"1/2 tablespoon Curd (Dahi / Yogurt),3/4 cup Caster Sugar,1 cup Rice - Soaked for 3 days,Ghee - to cook,4 tablespoons Poppy seeds",Maharashtrian Recipes,Traditional Anarsa Recipe With Curd (Apoopa),62
Basundi,"An Indian dessert mostly in Bihar, Maharashtra, Gujarat, and Karnataka, it is a sweetened condensed milk made by boiling milk and sugar on low heat until the milk is reduced by half. It is often made on Hindu festivals such as Kali Chaudas and Bhaubeej (Bhai Dooj).",,eJeGK0DrrHMV5VulUCAk,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Sweets_Mithai/Kesar_Pineapple_Rabri_Basundi_Sweet_Mithai_Recipe_Pudding-1.jpg,"2 Saffron strands,3/4 cup Sugar - (I like adding a little less sugar please adjust according to your taste),2 liter Milk,1 teaspoon Cardamom Powder (Elaichi),1/4 cup Badam (Almond) - or pistachios",Gujarati Recipes,Basundi / Rabri Recipe,55
