Name,Description,"Vegetarian/
Bhakarwadi,"A crispy sweet and spicy snack, popular in Maharashtra, Gujarat and Rajasthan. It is made from gram flour dough made into spirals stuffed with a mixture of coconut, poppy seeds and sesame seeds.",,p7jfHiPzwkqs5grzJB1T,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/gricha874-gmail.com/BHAKARWADI__RECIPEHOW_TO_MAKE_BAKARWADI_1600.jpg,"1 pinch Turmeric powder (Haldi),1 teaspoon Amchur (Dry Mango Powder),1/2 cup Dessicated Coconut,1 tablespoon Sugar,1/2 teaspoon Fennel seeds (Saunf),Salt - to taste,1 teaspoon Red Chilli powder,1/2 cup Gram flour (besan),1/2 teaspoon Garam masala powder,1 tablespoon Poppy seeds,1/4 teaspoon Coriander Powder (Dhania),1/2 cup All Purpose Flour (Maida),2 tablespoon Sesame seeds (Til seeds),2 tablespoons Tamarind Paste - or Tomato ketchup,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Cumin powder (Jeera),1/4 teaspoon Baking soda,Sunflower Oil - for deep-frying,1/2 teaspoon Red Chilli powder,1 pinch Asafoetida (hing)",Maharashtrian Recipes,Traditional Maharashtrian Bhakarwadi Recipe,40
Boondi,"Boondi is a Rajasthani snack food made from sweetened, fried chickpea flour.",,ARqf8I2GKlJVCWyIWU4C,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Sasmita/Sweet_Boondi__Meethi_Boondi.jpg,"3/4 cup Sugar,1 pinch Yellow food colour - optional,1/2 cup Water,1 cup Gram flour (besan),1 pinch Orange color - optional,1 pinch Baking soda,Sunflower Oil - to deep fry",Indian,Sweet Boondi / Meethi Boondi Recipe,110
Dhokla,"Dhokla is a vegetarian food item, from the Indian state of Gujarat, is made with a fermented batter derived from rice and split chickpeas.",,noOaWiFOUhglVRbXqkbA,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shyma_Menon/Green_Chutney_Rava_Dhokla_Recipe-6_1600.jpg,"1/4 cup Green Chutney (Coriander & Mint),1 teaspoon Enos fruit salt,1/2 teaspoon Mustard seeds,Salt - to taste,1/2 teaspoon Sesame seeds (Til seeds),1 tablespoon Sunflower Oil,Coriander (Dhania) Leaves - to garnish,1 sprig Curry leaves,1 teaspoon Sunflower Oil,1/4 cup Curd (Dahi / Yogurt),1 cup Sooji (Semolina/ Rava),1/2 teaspoon Cumin seeds (Jeera),1 pinch Asafoetida (hing)",Gujarati Recipes,Green Chutney Rava Dhokla Recipe - Sooji Dhokla,25
Ghugni,"An evening snack in Eastern India (Assam, Bengal, Bihar, Orissa). Black gram (Kala Chana) or dried yellow peas or dried white peas is cooked with gravy, in the traditional eastern Indian style. It is then served with murmura (puffed rice), and at times with hot onion pakoda/bhajiya.",,2sR4bUVS4d0gctYlO7yj,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Street_Food/Calcutta_Ghugni_Recipe_Tangy_Yellow_Peas_Curry_Street_Food_Snack-1.jpg,"3 sprig Coriander (Dhania) Leaves - finely chopped,1/8 cup White pepper powder,1 cup Dried Yellow/White Peas (Vatana) - soaked for 4 hourse,1/2 teaspoon Kalonji (Onion Nigella Seeds),Salt - to taste,1/4 cup Coriander (Dhania) Seeds,1 inch Ginger - grated,1/8 cup Rock Salt,2 Green Chillies - finely chopped,1/8 cup Red Chilli powder,1/4 cup Cumin seeds (Jeera),3 inch Ginger - thinly sliced,1/4 teaspoon Turmeric powder (Haldi),1/8 cup Amchur (Dry Mango Powder),1 Lemon - to be used when serving,10 Bay leaves (tej patta)",Bengali Recipes,Calcutta Style Ghugni Recipe-Tangy Yellow Peas Curry,290
Matar Kachori,"Usually a round flattened ball made of fine flour filled with a stuffing of baked mixture of yellow moong dal or urad dal (crushed and washed horse beans), besan (crushed and washed gram flour), black pepper, red chili powder, salt and other spices. This spicy snack is popular in various areas of India including Uttar Pradesh, Rajasthan, Delhi, Maharashtra, Madhya Pradesh, Gujarat, Bengal and Orissa.[26] It is also a popular snack food in Karachi, Pakistan.",,BFUVMShkFd4Fs6M9RAAA,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Matar_Kachori_Recipe-6.jpg,"1/2 teaspoon Kalonji (Onion Nigella Seeds),2 tablespoon Ghee,Salt - to taste,Mustard oil - for deep frying,1/4 teaspoon Salt,4 cloves Garlic - finely chopped,1 teaspoon Red Chilli powder,1/2 teaspoon Garam masala powder,1/2 teaspoon Chaat Masala Powder,2 teaspoon Fennel seeds (Saunf),2 tablespoons Gram flour (besan),1 cup Green peas (Matar) - steamed,1 cup Whole Wheat Flour,1/4 teaspoon Turmeric powder (Haldi),2 Green Chillies - chopped,1 inch Ginger - finely chopped,1 teaspoon Amchur (Dry Mango Powder)",North Indian Recipes,Matar Kachori Recipe,120
Kebab,"A wide variety of skewered meals originating in the Middle East and later on adopted in the Balkans, the Caucasus, other parts of Europe, as well as Central and South Asia, that are now found worldwide. Pictured are lamb kebabs.",,rDvUIqwBi6OQpymWHdiY,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Spicy_Lemon_Chicken_Kebab_Recipe_.jpg,"2 tablespoon Extra Virgin Olive Oil,1 Red Bell pepper (Capsicum) - cut into squares,Salt - to taste,1 Onion - cut into chunks,1 Chicken breasts - cut into cubes,1 teaspoon Red Chilli flakes,1 Lemon juice,1 teaspoon Black pepper powder,1 teaspoon Dried Thyme Leaves",Indian,Spicy Lemon Chicken Kebab Recipe,90
Kesari,"A sweet dish commonly made in South India. The sweet dish is made with semolina, sugar & ghee. Since a pinch of Saffron(kesari) is added to give the sweet dish an orange color, the sweet dish is names as 'Kesari'",,rHi7AYKWlb5cawv2tIHG,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Uma_Raghuraman/Milk_Kesari_Recipe_Paal_Kesari_Recipe.jpg,"1 Cardamom (Elaichi) Pods/Seeds - crushed (optional),3/4 cup Sugar,1 teaspoon Ghee,1/2 teaspoon Ghee - for roasting the rava,5 Saffron strands - (lightly powdered using mortar and pestle),3 cups Milk,1 Mixed dry fruits - chopped,5 Cashew nuts,5 Raisins,1/2 cup Sooji (Semolina/ Rava)",South Indian Recipes,Paal Kesari Recipe - South Indian Style Milk Kesari,35
Khaman Dhokla,"A vegetarian food item that originates from the Indian state of Gujarat. It is made with a fermented batter of gram flour (chickpeas).[29] Khaman can be eaten for breakfast, as a main course, as a side dish or as a snack.The final touch to the soft and fluffy khaman is added with a garnishing of sesame seeds, mustard seeds, coriander leaves and even curry leaves. People who savour the taste of coconut may add some grated coconut on the top to enhance the flavour. It is a preferred variant of Dhokla and has a lighter colour.",,0bxn0QAM9ShAEh9rLZ9t,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Instant_Khaman_Dhokla_Recipe_Video_Gujarati_2_1600.jpg,"1/2 cup Water - or more if required,1/4 cup Fresh coconut - grated,1/4 teaspoon Turmeric powder (Haldi),4 Green Chillies - slit,1 teaspoon Salt - to taste,2 tablespoons Sugar,1 tablespoon Lemon juice,1 inch Ginger - chopped,1/2 cup Water,1/4 teaspoon Salt,6 sprig Coriander (Dhania) Leaves - finely chopped,1-1/2 cups Gram flour (besan),2 Green Chillies - chopped,1 tablespoon Sunflower Oil,1 teaspoon Sugar,1 teaspoon Enos fruit salt,2 sprig Curry leaves,1 teaspoon Cumin (Jeera) seeds,1 teaspoon Mustard seeds,2 tablespoons Lemon juice,1/4 cup Water,1/4 teaspoon Cooking soda,1 teaspoon Sunflower Oil",Gujarati Recipes,Instant Khaman Dhokla Recipe,30
Khandvi,"A collective term used for a type of snacks in Gujarati cuisine, from the Indian state of Gujarat.[30] It is made mainly of gram flour and yogurt which is slowly cooked into a paste. The mixture is then spread out to cool, cut, and rolled into scroll shapes. Some are fried items which are then dried and can be stored, others are fresh or steamed.",,TP97KuzeMMg6jbzKtVAG,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Rupal_Patel/Pomegranate_Flavored_Stuffed_Khandvi.jpg,"1/2 tablespoon Sunflower Oil,1-1/2 teaspoon Red Chilli powder,2 tablespoons Fresh coconut - grated,Salt - to taste,2 tablespoons Paneer (Homemade Cottage Cheese) - grated,1/2 teaspoon Sesame seeds (Til seeds),1/2 cup Gram flour (besan),1-2 teaspoons Sugar,1 cup Pomegranate juice,1 tablespoon Coriander (Dhania) Leaves - finely chopped,1 teaspoon Mustard seeds,1 Green Chilli - chopped,Salt - to taste.,Asafoetida (hing) - a pinch,1/2 cup Curd (Dahi / Yogurt),Coriander (Dhania) Leaves - Few sprigs chopped,Fresh coconut - grated",Gujarati Recipes,Pomegranate Flavoured Stuffed Khandvi Recipe,50
Kosambari,"A salad made from pulses (split legumes) and seasoned with mustard seeds. The pulses generally used are split bengal gram (kadale bele in Kannada) and split Green gram (Hesaru bele in Kannada). These salads are sometimes eaten as snacks, but usually as a part of full course meal in Udupi cuisine.",,bdQzACh4HxvuM0KIJWas,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha_Kalluraya/SPROUTED_GREEN_GRAM_KOSAMBARI_1600.jpg,"Lemon juice - as required,1/2 cup Carrots (Gajjar) - grated,2 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,1/2 cup Fresh Pomegranate Fruit Kernels,1 teaspoon Mustard seeds,1 to 2 tablespoons Fresh coconut - grated (optional),1 sprig Curry leaves,2 to 4 Green Chillies - chopped,Sunflower Oil - as required,1 pinch Asafoetida (hing),1 cup Green Moong Sprouts",Karnataka,Sprouted Green Gram Kosambari Recipe- With Pomegranates,25
Modak,"A sweet delicacy shaped like a dumpling native to Maharashtra, Gujarat, and Southern India. The sweet filling inside a modak is made up of fresh grated coconut and jaggery, while the soft shell is made from rice flour, or wheat flour mixed with khava or maida flour. The dumpling can be fried or steamed. The steamed version, called ukdiche modak, is eaten hot with ghee. Modak has a special importance in the worship of the Hindu god Ganesh. During the Ganesh worship ceremony, known in India as Ganesh Chaturthi the puja always concludes with an offering of modaks to the deity and as prasad.",,mZ7hY9JBfnbOcUTFI3N9,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Anitha_Kirubakaran/Motichoor_Modak.jpg,"10 to 12 Saffron strands,Water - as required,Salt - as per your taste,pinch Salt - optional,1/2 teaspoon Rose water,1/2 cup Gram flour (besan),1/2 teaspoon Cardamom Powder (Elaichi),1 teaspoon Melon seeds,1 tablespoon Ghee,pinch Baking soda,1/4 cup Water,1/2 cup Sugar,1 teaspoon Badam (Almond) - crushed,Sunflower Oil - as required,pinch Orange color",Indian,Motichoor Modak Recipe,60
Momo,"A type of dumpling native to Nepal, Tibet, the bordering regions of Bhutan, and the Himalayan states of India including Sikkim and Arunachal Pradesh. It is similar to the Japanese Gyoza, the Mongolian buuz or the Chinese baozi and jiaozi. Different types of meat fillings are popular in different regions.",,7cwp1uOEc4zTcgH4xhti,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/shaikh.khalid7-gmail.com/Chicken_Momos_Recipe_Delicious_Steamed_Chicken_Dumplings.jpg,"2 cups All Purpose Flour (Maida),1/4 tablespoon Whole Black Peppercorns - crushed,1/2 tablespoon Soy sauce,Salt - to taste,1 cup Chicken - boiled and minced,1/2 cup Onions - finely chopped,1/2 cup Green peas (Matar) - boiled,1 Fresh Red chillies - or green chilli,1-1/2 teaspoon Baking powder,1 tablespoon Garlic - finely chopped,1/2 tablespoon Ginger - finely chopped",North East India Recipes,Chicken Momos Recipe -Delicious Steamed Chicken Dumplings,60
Murukku,"A South Indian snack of savory crunchy twists made from rice and urad dal flour.[34] Murukku means twisted in the Tamil language.[35] The town of Manapparai in Tamil Nadu is particularly known for its murukku. These days, Manappari Murukku can be bought online.[36] Murukku is made in many varieties as a traditional treat for festivals such as Diwali and Krishna Janmashtami.[37] Murukku are often served on special occasions within Iyer (Tamil Brahmin) families.[38] Murukku is known by different names across the different South Indian states, and is made from a variety of ingredients.",,XrqyjyriQwR3abn5mvyh,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Vivatta_Whole_Wheat_Flour_Murukku.jpg,"Sunflower Oil - for deep frying,1 teaspoon Salt,Water - as required,1 teaspoon Red Chilli powder,2 teaspoon Sesame seeds (Til seeds),1 teaspoon Ajwain (Carom seeds),2 cups Whole Wheat Flour,1 tablespoon Butter (unsalted) - melted",South Indian Recipes,Whole Wheat Flour Murukku Recipe,30
Namkeen,"Namkeen or Namkin are Hindi words for savory or salty foods. The word is probably derived from the Hindi word for salt, which is Namak. Khaara, Farsan, Chevda, Sev, Chips, Bhajiya, Mixture are some other names of Namkeen, used in different parts of India. Namkeen of Indore and Ratlam is very famous for its taste.",,sg4oJpaikpHe7B1AQMbP,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Anshu_Pande/Sabudana_Khatti_Meethi_Namkeen.jpg,"1 cup Raw Peanuts (Moongphali),1 teaspoon Rock Salt,15-20 Cashew nuts,1 tablespoon Sugar - powdered,8-10 Curry leaves,15-20 Raisins,1/2 cup Sabudana (Tapioca Pearls),1/2 teaspoon Whole Black Peppercorns - ground,Sunflower Oil - to fry",Indian,Sabudana Khatti Meethi Namkeen Recipe,30
Pakora,"Created by taking one or two ingredients such as onion, eggplant, potato, spinach, plantain, paneer, cauliflower, tomato, chili pepper, or occasionally apple[39] or chicken and dipping them in a batter of gram flour, they are then deep-fried. The most popular varieties are palak pakora, made from spinach, paneer pakora, made from paneer (soft cheese), pyaz pakora, made from onion, and aloo pakora, made from potato.",,dpkNDRPhOB7ijkMEUN2Y,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Chicken_Pakoda_Recipe.jpg,"1 Onion - sliced,5 tablespoons Gram flour (besan),Water - as required,1 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 teaspoon Red Chilli powder,250 grams Chicken - minced,Chaat Masala Powder - as required,1/4 teaspoon Turmeric powder (Haldi),Pickled onions - as required,Sunflower Oil",Indian,Chicken Pakora Recipe - Chicken Fritters,35
Pakwan,Crisp snacks,,4YZsKZZG5xRge8P6KLrl,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Dal_Khadi_Curry/Sindhi_Pakwan_Recipe_Served_With_Sindhi_Dal_Dal_Pakwan-1.jpg,"1 cup All Purpose Flour (Maida),Sunflower Oil - for deep frying,1 teaspoon Cumin seeds (Jeera),1 teaspoon Ajwain (Carom seeds),Salt - as needed,2 tablespoons Ghee,1 cup Whole Wheat Flour",Sindhi,Sindhi Pakwan Recipe - Crisp Delicious Puri,45
Pav Bhaji,"A Maharashtrian fast food dish that originated in Maharashtrain cuisine, it is native to Maharashtra and has now become popular in most metropolitan areas in India, especially in those of central and western Indian states[50] such as Gujarat and Karnataka.[51] Pav in Marathi means a small loaf of bread. Bhaji in Marathi means vegetable dish. Pav bhaji consists of bhaji (a thick potato-based curry) garnished with coriander, chopped onion, and a dash of lemon and lightly toasted pav. The pav is usually buttered on all sides.",,gNZ7jcH2XoUNFLi2PpZS,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Cheesy_Pav_Bhaji_Recipe.jpg,"1/2 cup Green beans (French Beans) - finely chopped,1 tablespoon Pav bhaji masala,1/2 cup Carrots (Gajjar) - finely chopped,3 cloves Garlic - grated,1/2 cup Cauliflower (gobi) - cut into small florets,2 tablespoons Cheese,1 inch Ginger - grated,1 teaspoon Red Chilli powder,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - finely shredded,1 teaspoon Coriander Powder (Dhania),Salt - to taste,1 Onion - finely chopped,2 Tomatoes - finely chopped,1/2 cup Green peas (Matar),2 tablespoons Butter,1 Green Bell Pepper (Capsicum) - finely chopped,2 Potatoes (Aloo) - cubed",Maharashtrian Recipes,Cheesy Pav Bhaji Recipe,30
Puffs,"A light pastry case, typically one made of puff pastry, containing a sweet or savoury filling.",,H0KKjzJ6YBNf4p45cden,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Avin_Kohli/Paneer_Cheese_Puffs.jpg,"Salt - as required,2-1/2 cup All Purpose Flour (Maida),Sesame seeds (Til seeds) - for topping,Chilled water - as required,1/2 cup Cheese,1 tablespoon Coriander (Dhania) Leaves - finely chopped,1 Onion - finely chopped,Salt and Pepper - for taste,150 grams Butter - cold,Milk - for brushing,1 cup Paneer (Homemade Cottage Cheese) - crumbled",Fusion,Paneer Cheese Puffs Recipe,60
Puran Poli,"A traditional type of sweet flatbread made in India in the states of Karnataka, Maharashtra, Gujarat, andhra pradesh and Goa.[53]",,57DzgXT0DUgpZYzlXXJv,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Gujarati_Maharastrian_Puran_Poli_Recipe_1_1600.jpg,"Ghee - for cooking/ serving,1/4 teaspoon Salt,1 cup Arhar dal (Split Toor Dal),1 teaspoon Cardamom Powder (Elaichi),2 tablespoons Gram flour (besan) - or more if required,2 cups Whole Wheat Flour,10 Saffron strands,3/4 cup Jaggery,1/2 teaspoon Nutmeg powder,2 tablespoons Sunflower Oil",Gujarati Recipes,Puran Poli Recipe | Gujarati & Maharastrian | Sweet Spiced Stuffed Paratha With Jaggery,80
Puri,"Eaten for breakfast or as a snack or light meal, puri is prepared with wheat flour, either atta (whole wheat flour), maida (refined wheat flour), or sooji (coarse wheat flour). A dough of flour and salt is either rolled out in a small circle or rolled out and cut out in small circles and deep fried in ghee or vegetable oil. While deep frying, it puffs up like a round ball because moisture in the dough changes into steam which expands in all directions. When it is golden-brown in color, it is removed and may be served hot or saved for later use (as with the snack food pani puri).",,sfpjXe1rsCbpHVFt3AY2,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Waagmi_Soni/aloo_masala_puri.jpg,"Sunflower Oil - for deep frying,1/4 teaspoon Fennel seeds (Saunf),Salt - to taste,1 Potato (Aloo) - boiled and mashed,1/4 teaspoon Ajwain (Carom seeds),1 tablespoon Coriander (Dhania) Leaves - finely chopped,1/4 teaspoon Red Chilli powder,1/4 teaspoon Coriander Powder (Dhania),1 tablespoon Sunflower Oil,1 cup Whole Wheat Flour,1/4 teaspoon Asafoetida (hing),1/4 teaspoon Sesame seeds (Til seeds),1/4 teaspoon Turmeric powder (Haldi)",North Indian Recipes,Aloo Masala Puri Recipe,40
Sandwich,"A food item consisting of two or more slices of bread with one or more fillings between them.[62][63][64] Sandwiches are a widely popular type of lunch food, typically taken to work, school, or picnics to be eaten as part of a packed lunch. They generally contain a combination of salad vegetables, meat, cheese, and a variety of sauces or savoury spreads.",,pcalIhcbQ8wdVb3mtTh6,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Classic_Grilled_Tomato_Cucumber_Sandwich_With_Chutney_Recipe_.jpg,"Salt - to sprinkle,2 Tomatoes - sliced thin into rounds,4 tablespoons Green Chutney (Coriander & Mint),Black pepper powder - to sprinkle,Chaat Masala Powder - to sprinkle,1 Cucumber - peeled and sliced into thin rounds,4 tablespoons Tomato Ketchup,2 tablespoons Butter,8 Whole Wheat Brown Bread",Indian,Classic Grilled Tomato Cucumber Chutney Sandwich Recipe,30
Sarva Pindi,"Prepared from a rice flour, ground nuts, salt, onion garlic paste etc. the mixture is made into atta and then stick this to a tawa in a circle shape and toast until turns into golden color. It is traditionally enjoyed as a dish in Telangana state.[65]",,xyAEsKQLQEg5xwk28aNZ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Sarva_PindiGine_Pindi_Recipe_Rice_Flour_and_Chana_Dal_Flatbread_Recipe_.jpg,"1 teaspoon Turmeric powder (Haldi),1 teaspoon Ginger Garlic Paste,Salt - to taste,2 tablespoon Chana dal (Bengal Gram Dal) - soaked for 2 hours,1 teaspoon Red Chilli powder,1 Onion - chopped,1 cup Rice flour,1 tablespoon Sesame seeds (Til seeds),1 Green Chilli - chopped,1 sprig Curry leaves - chopped",Andhra,Andhra Style Sarva Pindi/Gine Pindi Recipe (Rice Flour and Chana Dal Flatbread Recipe),40
Shankarpali,"Shankarpali, which is also known as Sakkarpara, is prepared from a dough of milk, sugar, ghee, maida, semolina and salt, the mixture is made into dough and then cut into diamond shaped pieces which are deep fried in ghee or butter.[66] It is traditionally enjoyed as a treat on the Diwali holiday.",,3bDtsuqEbsr75oqhP08D,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/Shakkar_para_recipe_1-2_1600.jpg,"1/4 cup Ghee,Sunflower Oil - for deep frying,2-1/2 cup Vivatta Maida - or use whole wheat flour,1 teaspoon Cinnamon Powder (Dalchini),4 tablespoons Sugar - powdered,1 cup Water,1/4 cup Sugar,1/4 teaspoon Salt - to taste",North Indian Recipes,Sugarpare Recipe (Shankarpali),100
Shrikhand,"A sweet dish made of strained yogurt.[67] It is one of the main desserts in Gujarati Cuisine & Maharashtrian cuisine. Preparation of this dish is very simple but it takes some time to process yogurt properly. The strained yogurt, referred to as ""Chakka"", and sugar are mixed thoroughly in a deep bowl. Cardamom, saffron, and any other flavors are then added and mixed. It is then left in the refrigerator for the sugar to dissolve. The dish is served chilled.",,Rsf9cZ7xWp9nzaOuZZGZ,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Kesar_Shrikand_recipe_Greek_Yogurt_With_Saffron-1_1600.jpg,"1/4 cup Pistachios - sliced  or almonds will also do,1 cup Caster Sugar,1 teaspoon Cardamom Powder (Elaichi),6 Saffron strands,2 cups Hung Curd (Greek Yogurt) - (use low fat preferably),1 cup Fresh fruits - of your choice",Gujarati Recipes,Kesar Shrikhand Recipe - Greek Yogurt Pudding With Saffron,390
Upma,"Upma' or 'Uppuma' or 'Uppittu' is a common South Indian and Sri Lankan Tamil breakfast dish, cooked as a thick porridge from dry roasted semolina or coarse rice flour. Various seasonings and/or vegetables are often added during the cooking, depending on individual preferences.",,rHf0VEi6RCaZU9rdXXmE,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/Tomato_Upma_Recipe.jpg,"Salt - as required,1 Green Chilli - finely chopped,2 sprig Coriander (Dhania) Leaves - finely chopped,1 teaspoon Mustard seeds,1 Onion - finely chopped,1 Dry Red Chilli - cut into half,1/4 teaspoon Turmeric powder (Haldi),1/2 Lemon juice,2 Tomatoes - finely chopped,1/4 teaspoon Asafoetida (hing),Hot water - as required,1 cup Sooji (Semolina/ Rava),1/2 teaspoon Red Chilli powder,6 to 7 Curry leaves",South Indian Recipes,Tomato Upma Recipe,40
Vadai,"A savory fritter-type snack from South India,[68] vadai is a traditional South Indian food known from antiquity.[69] The snack's main ingredients typically include lentils, potatoes and onions, and many variations exist.",,TPaPLPjwYOvkYSSUgsKW,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Uma_Raghuraman/Masala_Vadai_Kuzhambu__Curried_patties_in_a_Spicy_Tamarind_Gravy.jpg,"1 Tomato - finely chopped,3 tablespoons Sesame (Gingelly) Oil,1/2 teaspoon White Urad Dal (Split),2 Onions - finely chopped,1/4 cup Fresh coconut - grated,3 tablespoons Water,1/2 teaspoon Fennel seeds (Saunf),Salt - to taste,4 Green Chillies,1/2 teaspoon Methi Seeds (Fenugreek Seeds),6 Garlic - cloves,2 teaspoons Red Chilli powder,1/2 teaspoon Mustard seeds,15 Shallots,2 teaspoons Coriander Powder (Dhania),1 cup Chana dal (Bengal Gram Dal),1/2 teaspoon Turmeric powder (Haldi),2 sprig Curry leaves,1 inch Ginger,2 teaspoon Poppy seeds - powdered,1-1/2 tablespoon Tamarind Paste,Sunflower Oil - for frying",South Indian Recipes,Masala Vadai Kuzhambu Recipe (Mudaliar Style Curried Fritters In Spicy Tamarind Gravy),95
